Timestamp,¿Que te parece el manejo del tiempo en las clases?,¿Que te parece la dificultad de la clase?,¿Que tan utiles te han parecido los siguientes aspectos del curso? [Explicaciones teoricas],¿Que tan utiles te han parecido los siguientes aspectos del curso? [Explicaciones con codigo en R],¿Que tan utiles te han parecido los siguientes aspectos del curso? [Discusiones/preguntas durante la clase],¿Que tan utiles te han parecido los siguientes aspectos del curso? [Seccion teorica de las tareas],¿Que tan utiles te han parecido los siguientes aspectos del curso? [Seccion de codigo de las tareas],¿Que tan utiles te han parecido los siguientes aspectos del curso? [Seccion de proyecto final de las tareas],¿Que tan utiles te han parecido los siguientes aspectos del curso? [Grabaciones de las clases],¿Cuantas horas les tomo hacer la tarea? (Solo escriban el numero),¿Cuantas horas le dedicas al curso por semana? (Solo escriban el numero),¿Cual es tu nivel de satisfaccion con el curso hasta ahora?,¿Cual es tu nivel de satisfaccion con los instructores hasta ahora?,¿Que aspectos del curso te han parecido efectivos para aprender el material?,¿Que aspectos del curso te han parecido inefectivos para aprender el material?,¿Que crees que podriamos hacer los instructores para mejorar tu aprendizaje del material?,¿Que crees que podrias hacer tu y los otros estudiantes para mejorar tu aprendizaje del material? ¿Como podriamos persuadirte a ti y a tus compañeros a hacer lo que sugieres?,¿De que porcentaje de las clases te has salido a mitad de clase?,¿De que porcentaje de las clases te has salido?,¿Que tan comodo te sentiste con el manejo del R para hacer la tarea?,¿Que podemos hacer los instructores para mejorar tu comodidad con el R?,¿Que podrias hacer tu para mejorar tu comodidad con el R? ¿Como podriamos estimularte a hacerlo?,Suponte que pudieramos rankear a todos los estudiantes por que tanto estan entendiendo el material del curso: ¿Donde crees que estarias parado?,"¿Cuantos cursos de probabilidad, estadistica o econometria habias tomado antes de este curso? (Solo escribe el numero)",¿Que otros comentarios tienes en relacion al curso y los instructores?
5/18/2022 19:06,4,8,Algo util,Nada util,Poco util,Muy util,Nada util,Algo util,Muy util,6,2,3,4,Grabaciones (sobre todo parte teorica),"El manejo de R (nunca lo habia manejado, me fue mal en la tarea)",Mejorar el horario. No sea tan pesado. Dedicarle mas detallado a R,Dedicarle mas tiempo a R,10,10,1,Dedicar mas tiempo. Explicar mas detallado La clase 3 fue muy rapida,Tener sesion especial con R o mas tiempoo con R.,4,4,
5/18/2022 19:15,5,7,Muy util,Poco util,Muy util,Muy util,Nada util,Muy util,Muy util,6,3,3,4,todas las explicaciones teoricas,el manejo de R,"mejorar el horario en cuanto a la parte teoria y practica, es decir, que sea equitativas digamos que hora y media para la teoria y la otra hora y media para la parte practica",dedicarle mas tiempo al material,10,9,1,hacerlo mas dinamico en el sentido de practicar e ir paso a paso de forma mas calmada,mandar asignaciones en r semana tras semana estimularia mas a la automatizacion de usar el programa,5,5,
5/18/2022 21:27,4,7,Muy util,Poco util,Muy util,Algo util,Nada util,Algo util,Algo util,6,4,3,4,La seccion teorica,R,Aplicaciones mas practicas en R,Dedicar mas tiempo,10,10,1,Seccion para aclarar dudas,"Practicar, mandar tareas evolutivas de mas faciles a mas complejas",7,5,Me ha encantado la parte teorica
5/18/2022 22:06,5,8,Muy util,Muy util,Muy util,Muy util,Muy util,Muy util,Muy util,72,72,5,5,Programacion en R,Las tareas son un poco largas,Extender el tiempo de entrega de las tareas (una semana mas),Me gustaria interactuar mas con R. Quizas poner ejercicios que me ayuden a practicar.,10,10,5,Poner guias de ejercicios de practica.,Interactuar a menudo con el programa. Podrian mandar ejercicios cortos pero practicos,7,3,"Ninguno. En general, bastante satisfecha"
5/18/2022 22:19,8,8,Muy util,Muy util,Muy util,Muy util,Muy util,Muy util,Algo util,10,3,4,5,Los ejemplos son muy ilustrativos y me parece una manera efectiva de aprender los aspectos teoricos de clase.,Mi manejo de algunas de las funcionalidades del codigo presentado en clases no es el mejor. Considero que podria haber un detenimiento un poco mayor en esta seccion.,,Considero que llevar casos practicos o ejemplos (como el paper de Labor Market Discrimination) es una manera dinamica de llevar la clase en la que nos podemos involucrar mas e ir repasando conceptos mediante un aprendizaje mas activo,10,10,7,"Me gustaria mucho detalles de las funciones/paquetes que usaremos en las clases proximas (clase por clase) para poder indagar un poco mas acerca de las funciones previo a la clase. Siento que a veces pierdo el hilo de R, porque a pesar de saber lo basico del programa, hay cosas que me cuestan un poco entender.","Me encantaria poder revisar despues de las clases material de R o continuar con los cursos de Data Camp que estaba haciendo, pero veo una limitante de tiempo (uni y otras materias + tesis + pasantia). Intento estar al dia con la materia y darle la mayor cantidad de tiempo que puedo para entender bien lo que hago, pero se me dificulta darle el seguimiento que quisiera.",9,5,"Me gusta mucho el hecho de que realmente procuran que entendamos el material de clase o las clases de programacion. Soy fan de los ejemplos, ademas de ser ilustrativos son divertidos. A veces siento que falta tiempo de clases para poder ver todo sin apuros (Clase Teorica + R). Creo que esta tarea fue un poquito extensa, en funcion de lo que habia comentado en una pregunta previa (quisiera saber si es posible negociar el plazo de entrega --> En lugar de 1 semana, 2 semanas para poder tener tiempo de hacerla y aclarar dudas). Gracias por hacer esta encuesta :) Todo super genial!"
5/19/2022 5:43,4,8,Algo util,Algo util,Poco util,Muy util,Algo util,Poco util,Algo util,8,2,3,4,,,,,7,7,3,,,4,,
5/19/2022 9:52,10,10,Muy util,Muy util,Muy util,Muy util,Algo util,Muy util,Muy util,12,3,5,5,Grabacion de la clase por la velocidad de la misma y repaso de los codigos de R,Realmente ninguno sin embargo mi manejo de R y econometria es muy basico entonces se me dificulta la materia,Quisiera poder contactar a Carlos o a Jose en otros horarios porque chocan con mis materias (miercoles) y honestamente tener la hora de consulta el mismo dia de la clase es poco util ya que no da tiempo para presentar dudas (jueves) pero comprendo que ambos tienen agendas que atender de forma personal,Creo que seria bueno tener grabaciones asincronas de como realizar las asignaciones es decir poder ver algun material de algo muy similar y replicarlo en la asignacion y posteriormente en el trabajo ya que realmente es cuesta arriba agarrar el truco de R en tan solo un par de semanas y con ciertas fallas en estadistica y econometria todavia mas,8,10,1,Brindarnos alguna forma de empezar en R mas basico (cursos pregrabados) producto de que no se usa en la universidad sino unicamente bajo decision personal en materias electivas y a su vez tener sus aplicaciones en econometria,Tengo un curso comprado en Udemy podria empezar a trabajarlo,3,4,"El curso me parece genial, incluso es posiblemente lo mas llevado a la practica en futuro quese podria sin embargo no cuento con la base necesaria para enfrentar una tarea de este tipo por los momentos"
5/19/2022 9:56,6,7,Muy util,Algo util,Muy util,Algo util,Muy util,Algo util,Muy util,12,7,4,5,Llevar los conceptos estadisticos a situaciones tangibles y faciles de visualizar.,"Todos me han parecidos eficientes, solo agregaria un espacio extra para R.","Un espacio de prepaduria extra unicamente respecto a R, recomendar cursos como Swirl (que esta dentro del mismo RStudio) y similares, los cuales serian interesantes antes de realizar una tarea, aprecio muchisimo los articulos de twitter y las charlas extras, pero creo que no seria despreciable tal vez pensar en aprender dentro del mismo R con sus extensos tools.","Que alguna tarea sea cambiado por la realizacion de uno o varios cursos de R y se compruebe su validez utilizando un vector de cedula, nombre y una hora de inicio y finalizacion con el sistema de las computadoras de cada quien.",8,7,4,"Explicaciones mas detalladas respecto a los paquetes de R y como estas funciones se pueden utilizar, un ejemplo seria con seleccionar columnas especificas a traves de df% en lugar hacer un vector con una lista o cosas peque;as de ese estilo, seria chevere una hora de prepaduria solo de tecnisismos de R.","Videos ilustrativos (en ingles de preferencia) que expliquen situaciones similares y como resolverlas, o al menos algo lo suficientemente similar para dejar ese espacio de pensar, los script son muy buenos pero pueden quedar un poco a la interpretacion, sobre todo si por xyz razon no se tiene acceso al video grabado, el cual usualmente es muy ilustrativo en si mismo y agradezco que se suba.",7,5,"Estoy muy emocionado de continuar el curso y me disculpo formalmente por mis faltas en las clase anteriores, he tenido diversas situaciones personales/laborales/academicas pero me aseguro de verlas online, particularmente me encanta que ambos profesores se nota que saben muchisimo del tema y tienen espacios como este para el feedback, asegurando que en un futuro cercano el curso pueda ser mejor, y aun mas proyectado a futuro, gracias."
5/19/2022 10:13,6,7,Muy util,Algo util,Muy util,Muy util,Muy util,Algo util,Muy util,20,5,4,5,Me gustan los papers y hablar sobre ellos en clase porque aterriza un poco mas los conceptos que vemos,,,"Podriamos practicar mas los codigos porque fue un poco dificil llevar la lineal en la tarea, fue lo que mas nos costo",8,9,4,,,7,3,Quisiera saber si es posible alargar el periodo de entrega de las tareas
5/19/2022 10:18,5,7,Muy util,Algo util,Algo util,Algo util,Algo util,Poco util,Muy util,48,12,3,3,Las clases teoricas,"Pudiesemos dedicarle mas tiempo a esta parte R , aunque en lineas generales se ha hecho muy bien.","Quizas hacer mas sesiones de R a parte que sean aplicables directamente a la realizacion de las asignacines, aunque en lineas generales esto se ha hecho.",Dedicarle mas tiempo en la materia,9,8,5,Dedicarle un poco mas de tiempo quizas mas sesiones,Dedicarle un poco mas de tiempo quizas mas sesiones,6,5,"Gracias por el tiempo y la disposicion de dar clases, estoy seguro podremos ir mejorando todos en la medida que avanza el curso."
