id,sex,poor,education
2,2,0,12
3,2,0,12
6,1,0,16
7,1,0,12
9,1,0,14
11,1,0,16
14,2,0,18
15,1,0,16
16,2,0,13
18,1,0,13
20,2,0,17
22,2,0,16
25,2,0,14
27,2,0,16
28,2,0,13
29,2,0,12
30,2,0,12
31,1,0,12
34,1,0,13
36,1,0,12
37,2,0,12
38,2,0,12
39,1,0,12
40,1,0,14
41,1,0,15
42,1,0,12
43,2,1,12
44,2,0,12
47,1,0,12
49,2,0,14
50,2,0,12
53,1,1,12
54,1,0,10
57,2,0,12
58,2,0,17
60,1,0,12
61,2,0,14
62,2,0,12
63,1,0,16
68,2,0,16
69,1,0,18
72,2,0,16
73,1,0,18
75,2,0,16
76,1,0,14
77,2,0,16
78,2,0,16
79,1,0,18
82,1,1,12
84,1,1,12
87,1,0,12
88,1,0,16
89,2,0,16
90,1,0,16
92,2,0,12
93,1,0,12
94,1,0,10
95,2,0,12
96,2,0,12
97,2,0,14
98,2,1,13
99,2,0,14
100,2,0,12
103,1,0,18
104,2,0,12
105,2,0,12
106,1,0,16
107,1,0,16
108,1,0,20
110,1,0,13
111,2,0,12
119,1,0,16
125,1,0,13
126,1,0,14
128,2,0,12
129,1,0,16
136,2,1,12
137,2,0,16
138,2,0,16
139,1,0,15
141,2,0,18
142,1,0,12
144,2,0,12
145,1,0,12
147,2,0,14
149,2,0,12
150,1,0,12
152,2,0,12
153,2,0,12
155,1,0,9
158,2,0,16
159,2,0,16
160,2,0,14
161,2,0,12
162,1,0,18
164,2,0,12
165,2,0,12
166,1,0,13
167,2,0,12
170,2,1,14
171,1,0,16
172,2,1,9
174,2,0,13
179,2,0,12
180,2,0,16
183,2,0,12
184,2,0,16
186,2,0,18
188,2,0,10
189,1,0,16
190,2,0,18
191,1,0,19
193,1,0,16
195,1,0,18
196,1,0,18
197,2,0,12
198,1,0,18
199,1,0,12
200,2,0,12
202,1,0,14
204,2,0,11
207,1,0,12
209,1,0,11
210,1,0,16
211,2,0,16
213,1,0,16
214,1,0,15
218,1,0,16
219,2,0,20
220,2,0,20
221,2,1,10
222,1,1,9
224,2,1,12
228,2,1,9
229,2,1,11
230,1,0,15
231,2,0,12
232,1,0,14
233,1,0,12
234,1,0,12
235,1,0,15
236,2,0,13
237,2,0,12
239,2,1,10
240,2,0,12
243,1,0,12
245,2,0,14
247,1,0,19
248,1,0,12
249,2,0,17
250,2,0,12
251,1,0,12
252,2,0,12
253,1,0,11
254,2,0,12
255,2,0,12
256,2,0,13
257,1,0,12
258,2,0,14
259,1,0,12
260,1,0,14
265,2,0,16
269,1,0,16
272,2,0,16
273,1,0,15
274,1,0,13
275,2,0,14
276,2,0,12
277,1,0,12
278,2,1,13
279,1,0,12
281,1,0,18
282,2,0,16
284,1,0,12
285,2,0,10
286,2,0,16
287,2,0,12
288,2,1,12
289,2,0,12
290,2,0,10
291,1,1,12
293,2,0,13
297,2,0,12
298,2,0,14
301,1,0,12
302,1,1,12
303,1,0,12
304,1,0,11
305,2,0,12
306,1,0,14
307,2,0,12
308,1,0,12
309,1,0,13
310,1,0,12
311,1,0,12
313,1,0,11
317,1,0,16
318,1,0,12
319,2,0,18
320,1,0,12
322,2,0,14
323,1,0,12
324,1,1,9
327,2,0,16
331,1,1,12
332,1,0,9
333,2,0,12
335,2,0,15
337,1,0,12
338,2,0,12
339,2,1,11
340,2,0,12
342,1,0,16
343,2,0,13
344,2,0,16
346,1,0,16
347,2,0,17
349,1,0,13
350,1,0,17
351,1,0,12
352,2,0,12
353,1,0,12
354,2,0,12
356,1,0,11
357,1,0,16
358,1,0,16
359,2,0,16
360,2,0,19
363,2,1,12
364,1,0,16
367,2,0,16
368,2,0,17
369,2,0,16
370,2,0,16
373,2,0,12
375,1,0,12
376,1,0,16
385,2,0,12
386,2,0,12
388,2,0,15
390,2,1,10
391,2,0,12
392,1,0,12
393,1,0,13
395,2,1,14
396,1,0,12
397,2,1,9
398,1,0,10
399,2,0,18
400,2,0,16
401,2,0,12
402,2,0,12
405,2,0,13
406,1,0,14
407,2,0,16
408,1,0,12
409,1,0,16
410,1,0,12
411,1,1,12
412,1,0,13
416,2,0,19
417,1,0,12
420,1,0,12
421,1,0,20
422,1,0,19
423,2,0,20
424,1,0,12
425,2,1,12
426,1,0,12
431,2,0,14
433,1,0,12
434,1,0,12
435,1,0,12
437,2,0,12
438,2,0,13
439,2,0,16
441,1,0,12
442,2,0,12
443,1,0,14
444,2,0,16
445,1,0,16
446,2,0,12
447,1,0,12
450,1,0,12
452,2,0,16
457,1,0,16
459,2,0,16
460,2,0,13
461,1,0,16
462,2,0,18
463,1,0,12
464,1,0,14
466,1,0,16
468,1,0,16
470,1,0,12
471,2,0,12
472,2,0,11
474,2,0,12
475,2,0,12
476,2,0,12
477,1,0,12
478,2,0,12
479,1,0,12
481,1,0,19
482,1,0,19
483,1,0,12
484,1,0,12
485,2,1,12
486,1,0,12
487,2,0,14
488,1,0,12
489,1,0,14
491,2,0,12
492,2,0,12
493,1,1,13
495,2,0,13
496,2,0,12
499,2,0,12
502,1,0,12
503,2,0,12
506,2,0,16
507,2,0,14
508,1,0,12
512,1,0,13
514,2,1,12
517,1,0,12
520,1,0,16
521,1,0,17
522,2,0,13
523,1,0,15
526,1,0,12
527,2,0,13
528,2,0,12
529,2,0,12
533,2,0,14
534,1,0,12
536,2,1,10
538,1,1,12
541,1,0,10
542,2,0,12
543,1,0,12
544,2,0,12
546,2,0,10
547,1,0,11
548,2,0,12
549,1,0,12
550,2,1,12
553,1,0,16
554,1,0,19
555,1,0,12
556,1,0,16
558,2,0,17
559,1,0,16
560,1,0,14
561,2,0,17
562,1,0,20
565,1,0,13
567,2,0,14
570,1,0,16
571,1,0,13
573,1,0,17
575,1,0,19
576,2,0,18
580,1,0,12
581,1,0,12
582,2,0,16
583,1,0,13
584,1,0,10
588,2,1,12
591,2,0,14
592,1,0,12
593,2,1,14
594,1,0,12
600,1,0,16
604,2,0,15
605,1,0,12
606,1,0,13
608,2,0,16
611,2,0,16
612,2,0,14
613,1,0,12
614,2,0,19
615,2,0,11
616,1,0,12
619,2,0,12
620,1,0,12
621,2,1,11
624,1,0,17
626,2,0,12
627,2,0,12
628,1,0,12
629,1,0,8
630,1,0,8
631,1,0,11
632,2,0,12
635,2,0,12
636,2,0,12
637,1,0,13
638,1,0,13
639,1,0,12
640,2,0,12
641,1,0,12
645,1,0,16
646,2,0,12
647,1,0,12
648,2,0,13
649,1,0,17
650,2,0,16
653,1,0,18
655,2,0,16
657,2,0,20
658,1,0,12
659,1,0,14
660,2,0,14
662,2,0,12
663,1,0,16
665,2,0,16
666,1,1,12
667,1,0,14
668,2,1,13
669,1,0,12
670,2,0,16
671,1,0,16
672,1,0,16
673,1,0,12
674,1,0,12
677,2,0,12
680,2,0,12
683,2,0,16
684,1,0,12
685,1,1,12
686,1,0,18
687,1,0,12
688,2,0,14
690,1,0,12
692,2,0,13
697,1,0,12
700,1,1,12
701,1,0,9
702,1,0,12
703,2,1,12
704,2,0,13
706,2,1,13
707,1,0,14
708,2,1,12
711,1,0,12
712,2,0,13
713,2,0,12
